School,Year,FGM,FGA,FTM,FTA,3PM,3PA,PTS,OR,DR,REB,AST,TO,STL,BLCK,FG%,FT%,3P%
Duke,2019,1037,2173,518,751,247,818,2839,455,965,1420,541,446,322,232,0.4772204325816843,0.6897470039946738,0.3019559902200489
Michigan State,2019,922,1889,498,664,273,712,2615,357,996,1353,630,428,176,180,0.4880889359449444,0.75,0.3834269662921349
LSU,2019,912,1975,561,744,219,678,2604,432,809,1241,420,423,291,138,0.4617721518987342,0.7540322580645161,0.3230088495575221
Virginia Tech,2019,824,1733,413,545,307,779,2368,285,758,1043,491,364,213,74,0.4754760530871322,0.7577981651376147,0.3940949935815148
Mississippi State,2019,911,1930,446,624,284,752,2552,385,796,1181,474,439,267,164,0.47202072538860107,0.7147435897435898,0.3776595744680851
Maryland,2019,807,1777,437,584,232,657,2283,351,902,1253,423,420,139,152,0.4541361845807541,0.7482876712328768,0.3531202435312024
Louisville,2019,828,1908,519,670,285,834,2460,339,923,1262,442,406,147,99,0.4339622641509434,0.7746268656716417,0.3417266187050361
VCU,2019,801,1811,455,652,229,745,2286,347,830,1177,444,446,255,145,0.4422970734400883,0.6978527607361963,0.3073825503355705
UCF,2019,765,1652,495,767,211,596,2236,304,835,1139,411,366,178,139,0.4630750605326877,0.6453715775749674,0.3540268456375839
Minnesota,2019,840,1922,549,808,178,554,2407,389,870,1259,506,408,163,136,0.4370447450572321,0.6794554455445545,0.3212996389891697
Temple,2019,845,1927,465,636,240,726,2395,311,786,1097,463,356,277,72,0.4385054488842761,0.7311320754716981,0.3305785123966942
Belmont,2019,987,1976,411,557,325,871,2710,277,928,1205,616,360,212,117,0.4994939271255061,0.7378815080789947,0.373134328358209
Liberty,2019,921,1878,374,485,300,817,2516,265,849,1114,505,373,217,91,0.4904153354632588,0.7711340206185567,0.3671970624235006
Saint Louis,2019,814,1941,467,778,197,630,2292,469,883,1352,441,439,242,134,0.4193714580113344,0.6002570694087404,0.3126984126984127
Yale,2019,834,1687,371,512,217,586,2256,245,845,1090,484,375,168,121,0.4943687018375815,0.724609375,0.3703071672354949
Bradley,2019,790,1822,453,654,231,632,2264,314,855,1169,411,430,183,129,0.4335894621295279,0.6926605504587156,0.3655063291139241
North Carolina Central,2019,850,1865,443,620,212,672,2355,389,844,1233,509,506,207,91,0.4557640750670242,0.7145161290322579,0.3154761904761905
North Dakota State,2019,828,1816,445,575,315,861,2416,218,823,1041,383,349,159,82,0.4559471365638766,0.7739130434782608,0.36585365853658536
Gonzaga,2019,1062,1997,551,718,257,704,2932,315,960,1275,601,342,249,181,0.5317976965448172,0.7674094707520891,0.3650568181818182
Michigan,2019,855,1894,357,514,266,757,2333,279,877,1156,458,294,204,138,0.4514255543822598,0.6945525291828794,0.3513870541611625
Texas Tech,2019,837,1775,433,595,232,631,2339,283,814,1097,449,396,236,157,0.4715492957746479,0.7277310924369748,0.3676703645007924
Florida State,2019,879,1984,534,721,255,760,2547,389,882,1271,438,459,237,145,0.4430443548387097,0.7406380027739251,0.3355263157894737
Marquette,2019,869,1895,516,680,311,791,2565,317,939,1256,450,458,159,140,0.4585751978891821,0.7588235294117647,0.393173198482933
Buffalo,2019,1033,2234,497,719,325,969,2888,431,966,1397,573,399,249,138,0.4623992837958818,0.6912378303198887,0.33539731682146545
Nevada,2019,905,1944,560,791,292,831,2662,307,926,1233,494,338,204,129,0.4655349794238683,0.7079646017699115,0.35138387484957884
Syracuse,2019,787,1856,465,683,262,795,2301,356,792,1148,396,411,273,158,0.4240301724137931,0.6808199121522694,0.3295597484276729
Baylor,2019,816,1854,407,604,254,748,2293,429,787,1216,443,424,196,152,0.4401294498381877,0.6738410596026491,0.3395721925133689
Florida,2019,814,1907,416,579,277,828,2321,361,777,1138,416,400,244,126,0.4268484530676455,0.7184801381692574,0.33454106280193235
Arizona State,2019,851,1903,556,829,232,680,2490,389,890,1279,435,434,199,103,0.4471886495007881,0.6706875753920386,0.3411764705882353
St. John's,2019,922,2031,433,597,281,778,2558,252,822,1074,463,341,291,110,0.4539635647464304,0.7252931323283082,0.3611825192802057
Murray State,2019,938,1890,464,629,242,695,2582,336,839,1175,561,374,235,142,0.4962962962962963,0.7376788553259142,0.34820143884892085
Vermont,2019,841,1834,500,665,257,729,2439,307,854,1161,390,361,186,133,0.4585605234460196,0.7518796992481203,0.3525377229080933
Northern Kentucky,2019,878,1835,577,780,199,547,2532,383,885,1268,457,417,199,167,0.4784741144414169,0.7397435897435898,0.3638025594149909
Montana,2019,955,1923,419,608,281,739,2610,293,853,1146,500,408,221,103,0.4966198647945918,0.6891447368421053,0.38024357239512857
Fairleigh Dickinson,2019,876,1834,483,660,254,629,2489,308,777,1085,466,441,253,120,0.4776444929116685,0.7318181818181818,0.4038155802861685
Prairie View A&M,2019,875,1997,591,868,210,675,2551,383,742,1125,428,433,300,54,0.4381572358537807,0.6808755760368663,0.3111111111111111
Virginia,2019,820,1715,388,520,271,663,2299,284,824,1108,464,289,180,122,0.4781341107871721,0.7461538461538462,0.4087481146304676
Tennessee,2019,991,1988,510,669,225,629,2717,344,900,1244,609,363,201,179,0.4984909456740443,0.7623318385650224,0.3577106518282989
Purdue,2019,857,1920,413,564,311,854,2438,391,786,1177,462,341,208,129,0.44635416666666666,0.7322695035460993,0.3641686182669789
Kansas State,2019,784,1819,371,559,233,694,2172,312,786,1098,454,372,251,75,0.43100604727872455,0.6636851520572451,0.3357348703170029
Wisconsin,2019,854,1885,336,518,235,642,2279,269,893,1162,421,315,169,139,0.4530503978779841,0.6486486486486487,0.3660436137071651
Villanova,2019,840,1912,491,675,361,1023,2532,357,847,1204,485,383,184,103,0.4393305439330544,0.7274074074074074,0.35288367546432065
Cincinnati,2019,822,1903,505,719,220,629,2369,424,769,1193,451,347,208,150,0.4319495533368366,0.7023643949930459,0.3497615262321145
Ole Miss,2019,847,1844,458,585,261,729,2413,315,783,1098,459,405,234,116,0.4593275488069414,0.7829059829059829,0.3580246913580247
