School,Overall Seed,Bid,Year
Duke,1,Automatic,2019
Michigan State,6,Automatic,2019
LSU,11,At-Large,2019
Virginia Tech,16,At-Large,2019
Mississippi State,20,At-Large,2019
Maryland,22,At-Large,2019
Louisville,25,At-Large,2019
VCU,29,At-Large,2019
UCF,34,At-Large,2019
Minnesota,39,At-Large,2019
Temple,43,At-Large,2019
Belmont,42,At-Large,2019
Liberty,50,Automatic,2019
Saint Louis,53,Automatic,2019
Yale,55,Automatic,2019
Bradley,61,Automatic,2019
North Carolina Central,68,Automatic,2019
North Dakota State,67,Automatic,2019
Gonzaga,4,At-Large,2019
Michigan,8,At-Large,2019
Texas Tech,10,At-Large,2019
Florida State,14,At-Large,2019
Marquette,17,At-Large,2019
Buffalo,23,Automatic,2019
Nevada,26,At-Large,2019
Syracuse,30,At-Large,2019
Baylor,35,At-Large,2019
Florida,40,At-Large,2019
Arizona State,45,At-Large,2019
St. John's,47,At-Large,2019
Murray State,46,Automatic,2019
Vermont,52,Automatic,2019
Northern Kentucky,58,Automatic,2019
Montana,59,Automatic,2019
Fairleigh Dickinson,66,Automatic,2019
Prairie View A&M,65,Automatic,2019
Virginia,2,At-Large,2019
Tennessee,5,At-Large,2019
Purdue,12,At-Large,2019
Kansas State,15,At-Large,2019
Wisconsin,19,At-Large,2019
Villanova,21,Automatic,2019
Cincinnati,27,Automatic,2019
Ole Miss,31,At-Large,2019
Oklahoma,36,At-Large,2019
Iowa,37,At-Large,2019
Saint Mary's,44,Automatic,2019
Oregon,48,Automatic,2019
UC Irvine,51,Automatic,2019
Old Dominion,56,Automatic,2019
Colgate,60,Automatic,2019
Gardner–Webb,63,Automatic,2019
North Carolina,3,At-Large,2019
Kentucky,7,At-Large,2019
Houston,9,At-Large,2019
Kansas,13,At-Large,2019
Auburn,18,Automatic,2019
Iowa State,24,Automatic,2019
Wofford,28,Automatic,2019
Utah State,32,Automatic,2019
Washington,33,At-Large,2019
Seton Hall,38,At-Large,2019
Ohio State,41,At-Large,2019
New Mexico State,49,Automatic,2019
Northeastern,54,Automatic,2019
Georgia State,57,Automatic,2019
Abilene Christian,62,Automatic,2019
Iona,64,Automatic,2019
Virginia,1,Auto,2018
Cincinnati,8,Auto,2018
Tennessee,10,At-large,2018
Arizona,16,Auto,2018
Kentucky,17,Auto,2018
Miami (FL),22,At-large,2018
Nevada,27,At-large,2018
Creighton,30,At-large,2018
Kansas State,34,At-large,2018
Texas,39,At-large,2018
Loyola–Chicago,46,Auto,2018
Davidson,48,Auto,2018
Buffalo,51,Auto,2018
Wright State,57,Auto,2018
Georgia State,60,Auto,2018
UMBC,63,Auto,2018
Xavier,4,At-large,2018
North Carolina,5,At-large,2018
Michigan,11,Auto,2018
Gonzaga,15,Auto,2018
Ohio State,20,At-large,2018
Houston,23,At-large,2018
Texas A&M,25,At-large,2018
Missouri,32,At-large,2018
Florida State,38,At-large,2018
Providence,35,At-large,2018
San Diego State,45,Auto,2018
South Dakota State,49,Auto,2018
UNC Greensboro,52,Auto,2018
Montana,56,Auto,2018
Lipscomb,59,Auto,2018
North Carolina Central,67,Auto,2018
SWAC,68,Auto,2018
Villanova,2,Auto,2018
